,Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
142,KMT-2022-BLG-0371 b,0.26+0.13−0.11,,,3.02+0.45−0.56,,microlensing,23000+3000−4000,0.63+0.32−0.28,,Multiple orbital solutions[54]
143,KMT-2022-BLG-0440L b,0.0485+0.0302−0.0233,,,1.9±0.7,,microlensing,11000±5000,0.53+0.31−0.26,,[55][56]
144,KMT-2022-BLG-1013 b,0.31+0.46−0.16,,,1.38+0.18−0.20,,microlensing,25000±3000,0.18+0.28−0.10,,[54]
145,L 363-38 b,0.0147±0.0014,,8.781±0.006,0.048±0.006,330,radial vel.,33.372±0.014,0.210±77,3129±6,[57]
146,LHS 3154b,0.0414±0.0026,,3.71778+0.00080−0.00081,0.02262±0.00018,,radial vel.,51.43±0.03,0.1118±0.0027,2861±77,[58]
147,LHS 475 b,0.002876±0.000588,0.0883±0.0045,2.029088±0.000006,0.0206,586.0,transit,40.704,0.262,3312.0,[59][60] Host star also known as TOI-910[61]
148,LP 791-18 d,0.0028 +0.0016−0.0013,0.09207+0.00393−0.00384,2.753436±0.000013,0.01992±0.00024,395.5+2.6−2.3,transit,86.4077+0.20874−0.20809,0.139±0.005,2960±55,[62]
149,MOA-2016-BLG-0532L b,0.39±0.31,,,1.09±0.17,,microlensing,24000±2000,0.09±0.07,,[50]
150,MOA-2020-BLG-208L b,0.14+0.13−0.08,,,2.74+0.43−0.47,,microlensing,24400 +3200−3700,0.43 +0.39−0.23,,[63]
151,MOA-2022-BLG-249Lb,0.015±0.005,,,1.63±0.35,,microlensing,6500±1400,0.18±0.05,,[64]
152,MWC 758 c,,,,100,500±100,imaging,159.537 +1.742−1.706,1.5,,[65]
153,OGLE-2016-BLG-1635L b,11.49±7.96,,,1.34±0.47,,microlensing,22000±5000,0.43±0.29,,[50]
154,OGLE-2016-BLG-1850L b,0.03±0.01,,,1.46±0.16,,microlensing,7000±2000,0.26±0.11,,[50]
155,OGLE-2017-BLG-1806L b,0.0166 +0.0148−0.0086,,,1.75+0.46−0.47,,microlensing,20870+2510−4920,0.38+0.34−0.20,,[66]
156,OGLE-2019-BLG-0249L b,7.12±1.47,,,1.84±0.44,,microlensing,21000±3000,0.91±0.19,,[52]
157,OGLE-2019-BLG-0679L b,3.34±1.90,,,6.99±3.21,,microlensing,18000±6000,0.66±0.38,,[52]
158,PZ Telescopii b,27+25−9,,44000+40000−10000,27+14−4,,imaging,153.505+0.439−0.436,1.36+0.15−0.13,,[67]
159,Rho Coronae Borealis d,0.0680±0.0079,,282.2+2.2−3.7,0.827±0.011,,radial vel.,56.7901+0.0786−0.0783,0.95±0.01,5817±24,[68]
160,Rho Coronae Borealis e,0.0119+0.0017−0.0017,,12.949±0.014,0.1061±0.0011,,radial vel.,56.7901+0.0786−0.0783,0.95±0.01,5817±24,[68]
161,TIC 279401253 b,6.14+0.39−0.42,1.00±0.04,76.80±0.06,0.369±0.003,,transit,937±6,1.13+0.02−0.03,5951±80,[69]
162,TIC 279401253 c,8.02±0.18,,155.3±0.7,0.591+0.005−0.006,,radial vel.,937±6,1.13+0.02−0.03,5951±80,[69]
163,TIC 365102760 b,0.06,0.55,4.21285,0.0622±0.0049,,transit,1810±20,1.21+0.06−0.05,4694+27−20,Still have an atmosphere despite of high temperature and low mass[70]
164,TOI-139 b,0.0208,0.219+0.019−0.011,11.070850+0.000024−0.000030,,561.17,transit,138.4,0.6900±0.0852,4570±50,[71]
165,TOI-181 b,0.1452+0.0085−0.0240,0.6339+0.0079−0.0092,4.532000±0.000002,0.0539+0.0043−0.0036,895.10+32.14−33.86,transit,313.873+1.886−1.864,0.822±0.040,4994±50,[72]
166,TOI-198 b,,0.128±0.007,10.21520±0.00006,0.100±0.006,368±26,transit,77.38461±0.08659,0.467±0.023,3650±75,[73]
167,TOI-199 b,0.17±0.02,0.810±0.005,104.854+0.001−0.002,0.4254±0.0020,,transit,333.561+0.623−0.620,0.936+0.003−0.005,5255+12−10,[74]
168,TOI-199 c,0.28+0.02−0.01,,273.69+0.26−0.22,0.807±0.003,,transit,333.561+0.623−0.620,0.936+0.003−0.005,5255+12−10,[74]
169,TOI-244 b,0.00843±0.00094,0.136±0.011,7.397225+0.000026−0.000023,0.0559±0.0013,458±20,transit,71.8644+0.0334−0.0333,0.428±0.029,3433±100,[75]
170,TOI-262 b,,0.185±0.013,11.14529±0.00003,0.163±0.002,584±45,transit,143.287+0.383−0.381,0.913±0.029,5310±124,[76]
171,TOI-277 b,0.0308,0.276+0.026−0.013,3.994086+0.000008−0.000009,,739.9,transit,211.7,0.5204±0.0203,3748±64,[71]
172,TOI-332 b,0.180±0.005,0.285+0.014−0.010,0.777038±0.000001,0.0159±0.0001,1871+30−25,transit,726.847+12.231−11.836,0.88±0.02,5251±71,[77]
